Date,Open,High,Low,Close,Adj Close,Volume
2023-12-21,372.559998,374.410004,370.040009,373.540009,371.509613,17708000
2023-12-22,373.679993,375.179993,372.709991,374.579987,372.543915,17091100
2023-12-26,375.000000,376.940002,373.500000,374.660004,372.623505,12673100
2023-12-27,373.690002,375.059998,372.809998,374.070007,372.036713,14905400
2023-12-28,375.369995,376.459991,374.160004,375.279999,373.240112,14327000
2023-12-29,376.000000,377.160004,373.480011,376.040009,373.995972,18723000
2024-01-02,373.859985,375.899994,366.769989,370.869995,368.854095,25258600
2024-01-03,369.010010,373.260010,368.510010,370.600006,368.585571,23083500
2024-01-04,370.670013,373.100006,367.170013,367.940002,365.940002,20901500
2024-01-05,368.970001,372.059998,366.500000,367.750000,365.751038,20987000
2024-01-08,369.299988,375.200012,369.010010,374.690002,372.653351,23134000
2024-01-09,372.010010,375.989990,371.190002,375.790009,373.747375,20830000
2024-01-10,376.369995,384.170013,376.320007,382.769989,380.689392,25514200
2024-01-11,386.000000,390.679993,380.380005,384.630005,382.539307,27850800
2024-01-12,385.489990,388.679993,384.649994,388.470001,386.358429,21645700
2024-01-16,393.660004,394.029999,387.619995,390.269989,388.148651,27202300
2024-01-17,387.980011,390.109985,384.809998,389.470001,387.352997,22234100
2024-01-18,391.720001,393.989990,390.119995,393.869995,391.729065,23392100
2024-01-19,395.760010,398.670013,393.500000,398.670013,396.503021,29272000
2024-01-22,400.019989,400.619995,393.589996,396.510010,394.354736,27016900
2024-01-23,395.750000,399.380005,393.929993,398.899994,396.731720,20525900
2024-01-24,401.540009,405.630005,400.450012,402.559998,400.371826,24867000
2024-01-25,404.320007,407.010010,402.529999,404.869995,402.669281,21021200
2024-01-26,404.369995,406.170013,402.429993,403.929993,401.734406,17803300
2024-01-29,406.059998,409.980011,404.329987,409.720001,407.492920,24510200
2024-01-30,412.260010,413.049988,406.450012,408.589996,406.369080,33477600
2024-01-31,406.959991,415.320007,397.209991,397.579987,395.418915,47871100
2024-02-01,401.829987,408.000000,401.799988,403.779999,401.585236,30657700
2024-02-02,403.809998,412.649994,403.559998,411.220001,408.984772,28245000
2024-02-05,409.899994,411.160004,403.989990,405.649994,403.445068,25352300
2024-02-06,405.880005,407.970001,402.910004,405.489990,403.285889,18382600
2024-02-07,407.440002,414.299988,407.399994,414.049988,411.799377,22340500
2024-02-08,414.049988,415.559998,412.529999,414.109985,411.859039,21225300
2024-02-09,415.250000,420.820007,415.089996,420.549988,418.264038,22032800
2024-02-12,420.559998,420.739990,414.750000,415.260010,413.002838,21202900
2024-02-13,404.940002,410.070007,403.390015,406.320007,404.111420,27824900
2024-02-14,408.070007,409.839996,404.570007,409.489990,408.017273,20401200
2024-02-15,408.140015,409.130005,404.290009,406.559998,405.097839,21825500
2024-02-16,407.959991,408.290009,403.440002,404.059998,402.606842,22281100
2024-02-20,403.239990,404.489990,398.010010,402.790009,401.341400,24307900
2024-02-21,400.170013,402.290009,397.220001,402.179993,400.733582,18631100
2024-02-22,410.190002,412.829987,408.570007,411.649994,410.169525,27009900
2024-02-23,415.670013,415.859985,408.970001,410.339996,408.864227,16295900
2024-02-26,411.459991,412.160004,407.359985,407.540009,406.074310,16193500
2024-02-27,407.989990,408.320007,403.850006,407.480011,406.014557,14835800
2024-02-28,408.179993,409.299988,405.320007,407.720001,406.253693,13183100
2024-02-29,408.640015,414.200012,405.920013,413.640015,412.152405,31947300
2024-03-01,411.269989,415.869995,410.880005,415.500000,414.005676,17800300
2024-03-04,413.440002,417.350006,412.320007,414.920013,413.427795,17596000
2024-03-05,413.959991,414.250000,400.640015,402.649994,401.201904,26919200
2024-03-06,402.970001,405.160004,398.390015,402.089996,400.643921,22344100
2024-03-07,406.119995,409.779999,402.239990,409.140015,407.668579,18718500
2024-03-08,407.959991,410.420013,404.329987,406.220001,404.759064,17971700
2024-03-11,403.760010,405.679993,401.260010,404.519989,403.065155,16120800
2024-03-12,407.619995,415.570007,406.790009,415.279999,413.786469,22457000
2024-03-13,418.100006,418.179993,411.450012,415.100006,413.607147,17115900
2024-03-14,420.239990,427.820007,417.989990,425.220001,423.690735,34157300
2024-03-15,419.290009,422.600006,412.790009,416.420013,414.922394,45049800
2024-03-18,414.250000,420.730011,413.779999,417.320007,415.819153,20106000
2024-03-19,417.829987,421.670013,415.549988,421.410004,419.894440,19837900
